2024-05-30 20:51:05,326 | WARN  | Setup of JMS message listener invoker failed for destination 'Tutor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#3) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #2 - JmsConsumer[Tutor_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Learner_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #5 - JmsConsumer[Learner_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Tutor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #2 - JmsConsumer[Tutor_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Sensor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #3 - JmsConsumer[Sensor_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Sensor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #3 - JmsConsumer[Sensor_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'LMS_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #7 - JmsConsumer[LMS_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'LMS_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #7 - JmsConsumer[LMS_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Tutor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #2 - JmsConsumer[Tutor_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Domain_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #8 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Pedagogical_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #17 - JmsConsumer[Pedagogical_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Tutor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #18 - JmsConsumer[Tutor_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Domain_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #8 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Learner_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #16 - JmsConsumer[Learner_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Tutor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #18 - JmsConsumer[Tutor_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Pedagogical_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #17 - JmsConsumer[Pedagogical_Discovery_Topic]
2024-05-30 20:51:15,360 | ERROR | Could not refresh JMS Connection for destination 'Learner_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #16 - JmsConsumer[Learner_Discovery_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Domain_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #21 - JmsConsumer[Domain_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Domain_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #21 - JmsConsumer[Domain_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Sensor_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #22 - JmsConsumer[Sensor_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Sensor_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #22 - JmsConsumer[Sensor_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #14 - JmsConsumer[Gateway_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #14 - JmsConsumer[Gateway_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Sensor_Status_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #20 - JmsConsumer[Sensor_Status_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Sensor_Status_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #20 - JmsConsumer[Sensor_Status_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #13 - JmsConsumer[Gateway_Discovery_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #13 - JmsConsumer[Gateway_Discovery_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Domain_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #15 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Domain_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #15 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Monitor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #19 - JmsConsumer[Monitor_Discovery_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Monitor_Discovery_Topic' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #19 - JmsConsumer[Monitor_Discovery_Topic]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Pedagogical_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #23 - JmsConsumer[Pedagogical_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Pedagogical_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #23 - JmsConsumer[Pedagogical_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'LMS_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #25 - JmsConsumer[LMS_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'LMS_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #25 - JmsConsumer[LMS_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Learner_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #24 - JmsConsumer[Learner_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,376 | ERROR | Could not refresh JMS Connection for destination 'Learner_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #24 - JmsConsumer[Learner_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'Tutor_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #29 - JmsConsumer[Tutor_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'Tutor_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #29 - JmsConsumer[Tutor_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'UMS_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #26 - JmsConsumer[UMS_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #27 - JmsConsumer[Gateway_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Topic_10.203.43.114' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #28 - JmsConsumer[Gateway_Topic_10.203.43.114]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #27 - JmsConsumer[Gateway_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'WebMonitor_Queue:10.203.43.114:Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #30 - JmsConsumer[WebMonitor_Queue:10.203.43.114:Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'WebMonitor_Queue:10.203.43.114:Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #30 - JmsConsumer[WebMonitor_Queue:10.203.43.114:Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'UMS_Queue_10.203.43.114_Inbox' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #26 - JmsConsumer[UMS_Queue_10.203.43.114_Inbox]
2024-05-30 20:51:15,390 | ERROR | Could not refresh JMS Connection for destination 'Gateway_Topic_10.203.43.114' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not create Transport. Reason: java.io.IOException: Broker named 'localhost' does not exist. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #28 - JmsConsumer[Gateway_Topic_10.203.43.114]
2024-05-30 21:21:38,940 | WARN  | Setup of JMS message listener invoker failed for destination 'UMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#1) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #1 - JmsConsumer[UMS_Discovery_Topic]
2024-05-30 21:21:38,940 | WARN  | Setup of JMS message listener invoker failed for destination 'UMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#1) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #1 - JmsConsumer[UMS_Discovery_Topic]
2024-05-30 21:21:38,944 | WARN  | Setup of JMS message listener invoker failed for destination 'Tutor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#5) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #3 - JmsConsumer[Tutor_Discovery_Topic]
2024-05-30 21:21:38,944 | WARN  | Setup of JMS message listener invoker failed for destination 'Tutor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#5) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #3 - JmsConsumer[Tutor_Discovery_Topic]
2024-05-30 21:21:38,949 | WARN  | Setup of JMS message listener invoker failed for destination 'Monitor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#7) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #4 - JmsConsumer[Monitor_Discovery_Topic]
2024-05-30 21:21:38,949 | WARN  | Setup of JMS message listener invoker failed for destination 'Monitor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#7) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #4 - JmsConsumer[Monitor_Discovery_Topic]
2024-05-30 21:21:38,944 | WARN  | Setup of JMS message listener invoker failed for destination 'LMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#3) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #2 - JmsConsumer[LMS_Discovery_Topic]
2024-05-30 21:21:38,944 | WARN  | Setup of JMS message listener invoker failed for destination 'LMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#3) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #2 - JmsConsumer[LMS_Discovery_Topic]
2024-05-30 21:21:38,977 | WARN  | Setup of JMS message listener invoker failed for destination 'Sensor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#23) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #12 - JmsConsumer[Sensor_Discovery_Topic]
2024-05-30 21:21:38,977 | WARN  | Setup of JMS message listener invoker failed for destination 'Sensor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#23) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #12 - JmsConsumer[Sensor_Discovery_Topic]
2024-05-30 21:21:38,971 | WARN  | Setup of JMS message listener invoker failed for destination 'LMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#21) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #11 - JmsConsumer[LMS_Discovery_Topic]
2024-05-30 21:21:38,971 | WARN  | Setup of JMS message listener invoker failed for destination 'LMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#21) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #11 - JmsConsumer[LMS_Discovery_Topic]
2024-05-30 21:21:38,971 | WARN  | Setup of JMS message listener invoker failed for destination 'UMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#19) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #10 - JmsConsumer[UMS_Discovery_Topic]
2024-05-30 21:21:38,971 | WARN  | Setup of JMS message listener invoker failed for destination 'UMS_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#19) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #10 - JmsConsumer[UMS_Discovery_Topic]
2024-05-30 21:21:38,969 | WARN  | Setup of JMS message listener invoker failed for destination 'Pedagogical_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#13) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #7 - JmsConsumer[Pedagogical_Discovery_Topic]
2024-05-30 21:21:38,969 | WARN  | Setup of JMS message listener invoker failed for destination 'Pedagogical_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#13) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #7 - JmsConsumer[Pedagogical_Discovery_Topic]
2024-05-30 21:21:38,963 | WARN  | Setup of JMS message listener invoker failed for destination 'Domain_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#17) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #9 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 21:21:38,963 | WARN  | Setup of JMS message listener invoker failed for destination 'Domain_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#17) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #9 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 21:21:38,960 | WARN  | Setup of JMS message listener invoker failed for destination 'Sensor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#15) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #8 - JmsConsumer[Sensor_Discovery_Topic]
2024-05-30 21:21:38,960 | WARN  | Setup of JMS message listener invoker failed for destination 'Sensor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#15) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #8 - JmsConsumer[Sensor_Discovery_Topic]
2024-05-30 21:21:38,960 | WARN  | Setup of JMS message listener invoker failed for destination 'Gateway_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#11) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #6 - JmsConsumer[Gateway_Discovery_Topic]
2024-05-30 21:21:38,960 | WARN  | Setup of JMS message listener invoker failed for destination 'Gateway_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#11) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #6 - JmsConsumer[Gateway_Discovery_Topic]
2024-05-30 21:21:38,959 | WARN  | Setup of JMS message listener invoker failed for destination 'Learner_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#9) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #5 - JmsConsumer[Learner_Discovery_Topic]
2024-05-30 21:21:38,959 | WARN  | Setup of JMS message listener invoker failed for destination 'Learner_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#9) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel Thread #5 - JmsConsumer[Learner_Discovery_Topic]
2024-05-30 21:21:39,000 | WARN  | Setup of JMS message listener invoker failed for destination 'Gateway_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#25) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #13 - JmsConsumer[Gateway_Discovery_Topic]
2024-05-30 21:21:39,000 | WARN  | Setup of JMS message listener invoker failed for destination 'Gateway_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#25) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #13 - JmsConsumer[Gateway_Discovery_Topic]
2024-05-30 21:21:39,001 | WARN  | Setup of JMS message listener invoker failed for destination 'Domain_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#29) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #15 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 21:21:39,001 | WARN  | Setup of JMS message listener invoker failed for destination 'Domain_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#29) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #15 - JmsConsumer[Domain_Discovery_Topic]
2024-05-30 21:21:39,001 | WARN  | Setup of JMS message listener invoker failed for destination 'Learner_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#31) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #16 - JmsConsumer[Learner_Discovery_Topic]
2024-05-30 21:21:39,001 | WARN  | Setup of JMS message listener invoker failed for destination 'Learner_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#31) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #16 - JmsConsumer[Learner_Discovery_Topic]
2024-05-30 21:21:39,005 | WARN  | Setup of JMS message listener invoker failed for destination 'Monitor_Discovery_Topic' - trying to recover. Cause: peer (vm://localhost#37) stopped. | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel) thread #19 - JmsConsumer[Monitor_Discovery_Topic]
